,date,rating,title,review
0,Date of stay: March 2023,50,Exceptional Service at The Peninsula - Thank you Irina,"Peninsula is a Hong Kong legacy for us locals. Each time I visit the hotel, it gives me a very special feeling. In fact, most important ingredient in the receipt is - the people. Irina is a perfect example and a role model.

It was a great night of gathering with an old friend. Upon my arrival at Felix, Irina greeted me with a big smile and she was very engaging. The restaurant has nice decor with beautiful view of Hong Kong. Food was good and nicely presented. Irina came by to check on our satisfaction and chatted with us from time to time. She was busy the whole time, very efficient (totally adapted to the Hong Kong spirit) , moving around rapidly without feeling stressed. We felt being looked after and it made the whole experience more remarkable.

Thank you Irina , Felix and Peninsula for one of the most unforgettable experience. I wish Irina every success in her career and I am looking forward to my return to Peninsula already……"
1,Date of stay: December 2022,50,"Exceptional service, comfortable stay","Stayed three nights in hk with family after 2 weeks holiday in Japan.

The peninsula isn't new but is of great make, rooms are confortable, the real stand out is the personalised concierge service the Peninsula provided, they made our stay hassle free especially when there were mandatory gov requirements to be met for inbound travellers.

""Kit"" from the concierge team made our stay memorable. We feel that Peninsula's service goes that little bit further than Aman tokyo and St Regis Osaka from our recent experience."
2,Date of stay: February 2023,40,Classy,Wonderful anniversary staycation with my wife and everything was nicely arranged for us. The room was clean and very luxurious and the views are nice. The breakfast is really yummy and we loved the dim sum section. The high tea a little too expensive but it’s good.
3,Date of stay: February 2023,50,Really good place. Good Hospitality,"Good place to stay in. Really good location near shopping places. There is a wide variety of restaurants downstairs, the place is really clean and beautiful. Staff is nice compared to all the other places in Hong Kong. Would highly recommend this place."
4,Date of stay: January 2023,30,Tea in the Lounge,Had looked forward to the famous afternoon tea in the Lobby Lounge and my son was kind enough to take me. Sadly I thought it very disappointing. The savoury plate was particularly bad. Nice toppings on thick bread and the pastry vol au vents very tough not light and crispy. Seemed they had been frozen. The scones were also heavy. I am afraid that the Mandarin wins by a long way.
5,Date of stay: January 2023,50,Daddy birthday celebration,"Excellent experience, from hotel check in (special thanks to Phoneix for his extraordinary service and attitude) to hotel room, facilities to the staff attitude

We did enjoy a lot. It’s amazing that the hotel greet us with a birthday card and cake 🎂 it’s so sweet 👍🏼

I would say, it is a must-try hotel in ur life! Proud of the penisular hk 🫶🏻"
6,Date of stay: October 2022,50,Best in class service!,Stayed with family. Great hospitality. You are made to feel special. Also there is a swimming pool which is good for morning exercise before breakfast. The location is also good for easy access to nearby shopping or for taking the various ferry terminal nearby.
7,Date of stay: December 2022,50,Lovey Christmas Family Staycation!,What an amazing Christmas family staycation and a huge thank you to Mr. Henry Ho Assistant Guest Relations Manager and the entire Peninsula team! It was our first time staying at the Peninsula and we chose it for our 13th year wedding anniversary and also for our Christmas day lunch. We had a lovely Harbor Front Deluxe Suite and our two sons were in comfortable roll out beds in the large lounge room. The suite was HUGE with luxury fittings and amazing views where we enjoyed the night lights show. The service from Mr Henry Ho and the entire Peninsula team was exceptional! We were fortunate to have our Christmas Day lunch inside the 'vintage train' and we loved the large Christmas tree in the lobby and the choir singing carols. We are expats that live in Hong Kong and have been fortunate to visit some top international hotels around the world and we found the Peninsula Hotel to be on par with the best of the best. Our boys loved meeting Santa and the amazing Christmas arts and crafts held at the Peninsula. All the food was exceptional. Our only (small) comment was the pool was a bit cold and not the reported 29 degrees. but none the less our boys had a swim while the parents had a nice drink at the pool bar watching them. We are already discussing our next stay. Thank you the Peninsula Hotel for your efforts. 10 out of 10.
8,Date of stay: May 2022,50,Stay with PEN,"I been stayed with peninsula twice in May 2022.

Really enjoy their hospitality and good food.
They have a splendid swimming pool and lobby lounge, which I had a very good time there in May.

Breakfast with lobby lounge is great, but I also look forward to try buffet breakfast in The Verandah for next stay, heard their buffet breakfast was good tho.

Wish to visit THE VERANDAH and FELIX next time."
9,Date of stay: December 2022,30,Not the Peninsula I know,"Low value for price paid, slow and indifferent service, no welcome, staff English skills very limited and they clearly are no longer focused on foreign guests rather the wealthy Chinese

As a hotelier at this level myself I’m immensely disappointed, is this the new Hong Kong"
10,Date of stay: November 2022,10,The worst pre-stay experience,"Our family was tested positive before the stay with The Peninsula Hong Kong. We wrote to their CS team to explain the situation and asked for a date change. We were then being told that 4 times of booked price will be applied for date change plus we must choose a new date to stay within Nov. (Which our original staying date is 19 Nov). What makes you think we can be fully recovered and schedule another stay within 10 days?

We are just asking for a humanised option but the manager was being so unthoughtful. We were granted a FREE cancellation at the end.

This worldwide pandemic has been affecting each of us over the past 2 years and I believe all of us don’t want to get involved it. I just don’t understand why your team cannot think at guests’ perspective.

Never ever have such an awful experience with 5-star hotels. Not in Hong Kong. Not in other countries."
11,Date of stay: September 2022,50,Excellent food and tea,"I went to the Chinese restaurant Tin Lung Heen. The food was excellent especially the pork belly! We tried some amazing tea thanks to the recommendation of Amanda.
I will come again very soon! Thanks for the service."
12,Date of stay: September 2022,20,"Service is good, but hygiene...","I informed hotel in advance that this stay is for birthday celebration and marriage proposal. The staff at front desk is very polite and kind, she introduced the room facilities and upgraded us to Grand Deluxe Harbour View Room. Thank you very much.

There are three meals are included under the package, we have lunch, dinner and breakfast at The Lobby, the dishes were well presented and tasted good. I would like to compliment one of the staff here, but I don't know her name. When we decided to exchange our dished, a female staff helped us immediately even she was far away from us.

Although the service is impeccable, the hygiene issues made us felt discomfort.

When I enjoyed soak, I looked up and found there are lots of black dots (should be mold) on the wall. Besides, when I woke up the next day, I felt itchy and there were small red spots on my feet.

The hygiene problem was daunting, and also made this marriage proposal a bit unpleasant, I hope hotel can pay more attention on this."
13,Date of stay: August 2022,50,"Interesting Peninsula HK ""JOURNEY THE WORLD: NEW ENCOUNTERS"" STAYCATION","Enjoyable and relaxing trip on 27-28 Aug. Package include $800 dining credit + two encounters. Excellent service as usual!

We were first greeted by Hazel, a cheerful lady, who also escorted to our suite. The first impression towards a hotel is always rely on he front line staff and Peninsula staff always give us excellent impression. Of course, we were surprised by the sweet ""treats' the customer service team offered. :)

It was the first time we book this encounters package and we both were delighted with the activities we chose. The first encounter we experienced was Louis Vuitton Scent Bag Making. It didn't take long to make such a nice souvenir but the process was really enjoyable. The second encounter we chose was Flight Simulator. Dennis, the ""co-pilot"" :), was so enthusiastic and professional. We were happy that we made the right choices! But of course, we will try some other encounters and taste more encounters next time!

We were tempted by some new hotels this year and we were in most cases, disappointed. Luckily, we chose Peninsula this time and definitely we will choose Peninsula again and again in the future!"
14,Date of stay: August 2022,40,Mix of Tradition and Modern Staycation,"Been here a few times for meals (high tea/dinner) but have never stayed here until my 1-night Staycation during this week.

The lobby decor feels historical and elegant (but not old) with a nice area for check-in. The rooms/bathrooms were extremely nice with high ceilings and the decor was classical but equipped with modern facilities (wireless charging, USB ports, Smart TV with free in-room entertainment, bedside tablets, printers, Nespresso Machine). There seems to be an issue with the connection of Airtime (in-room entertainment) as it sometimes lags/pauses. The 8/F swimming pool is a must-visit for its roman-inspired theme and night views of the Hong Kong skyline.

For dinner, we went to Spring Moon. The service and food were what you expect from a 1-star Michelin restaurant. However, the restaurant could consider introducing half portions as it was difficult to order a good variety for 2 people.

As part of the Staycation, Breakfast was at the Lobby Lounge with either a Western or Chinese set. The quality of the Western set was very good but was disappointed with the Chinese set, in particular, the Dim Sum which tasted like frozen quality (ones you get from supermarkets/convenience stores).

Suggestions - As the 6/F function room was the location for mooncake pickup, should the main doors to the rooms be closed (and only accessible by guests)? Given that the elevator access to other facilities was restricted, think it's more appropriate if the 6/F rooms were also restricted."
